Field1,Objective,BloodID,PlateID,CqGAPDH,U_PlateID,DiffGAPDH,EffGAPDH,CqTelomere,DiffTelomere,EffTelomere,RTL,ID,Whodunnit,BirdID,LayYear,RightTarsus,LeftTarsus,BodyMass,EyeColour,Ageclass,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,SexEstimate,MaxOfMaxOfSeenDate
96,1,2665,17,23.95266667,1_17,0.301,1.857666667,14.16033333,0.932,1.682333333,1.075237335,96,EB,607,1993,25.5,25.8,16.5,,A,25,819,23/07/1998,228,62,BrM,1,03/07/2001
97,1,2666,17,24.069,1_17,0.477,1.89,14.182,0.656,1.69,1.130177991,97,EB,557,1993,25.2,25.1,16.6,,A,25,819,23/07/1998,224,57,BrM,1,07/09/1999
98,1,2667,17,24.06966667,1_17,0.911,1.873333333,13.409,0.483,1.692,1.716217461,98,EB,1203,1996,26.9,26.8,16.7,,A,25,819,23/07/1998,222,54,BrM,1,07/09/1999
99,1,2670,17,24.89333333,1_17,0.135,1.872333333,14.87133333,0.345,1.685,1.32969671,99,EB,1234,1997,26.8,26.7,16.5,,SA,25,822,26/07/1998,279,171,H,1,02/12/1999
100,1,2671,17,24.016,1_17,0.283,1.878666667,14.522,0.416,1.685333333,0.917193066,100,EB,507,1993,26.1,26.1,15.5,,A,25,823,27/07/1998,208,30,BrM,1,26/08/2008
101,1,1,18,8.707666667,1_18,0.396,2.09,11.87833333,0.031,1.730666667,0.0000542,101,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
102,1,2,18,12.07933333,1_18,0.842,2.066666667,15.83633333,0.259,1.720666667,0.0000857,102,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
103,1,3,18,15.05533333,1_18,0.16,2.037666667,20.27133333,0.221,1.766333333,0.0000687,103,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
104,1,4,18,18.549,1_18,0.211,2.087666667,24.06466667,0.409,1.763333333,0.0000828,104,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
105,1,6,18,25.413,1_18,0.177,2.049666667,30.19933333,0.162,1.757333333,0.000415783,105,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
106,1,2673,18,24.186,1_18,0.182,1.931666667,14.81766667,0.916,1.701,1.0205527,106,EB,604,1993,24.6,24.5,14.0,,A,25,823,27/07/1998,217,47,BrF,0,27/07/1999
107,1,2675,18,24.01466667,1_18,0.157,1.872,13.70266667,0.341,1.670666667,1.635342346,107,EB,1380,1997,24.5,24.8,14.5,,A,25,836,02/08/1998,263,123,BrF,0,20/07/2003
108,1,2676,18,23.94866667,1_18,0.011,1.869333333,13.81133333,0.138,1.685666667,1.513681472,108,EB,849,1994,26.4,26.2,,,A,25,837,03/08/1998,253,101,BrM,1,27/12/2003
109,1,2677,18,24.43933333,1_18,1.326,1.918,13.338,0.178,1.707333333,2.68188936,109,EB,847,1994,25.2,25.1,16.3,,A,25,839,04/08/1998,269,138,BrM,1,07/08/2000
110,1,2678,18,24.03333333,1_18,0.709,1.882333333,13.30166667,0.308,1.685,2.066653365,110,EB,1028,1995,26.2,26,17.2,,A,25,839,04/08/1998,272,155,BrM,1,20/11/1999
111,1,2680,18,23.574,1_18,0.123,1.896,13.27333333,0.497,1.697,1.581309411,111,EB,639,1994,22.6,22.5,14.8,,A,25,841,05/08/1998,272,155,BrF,0,07/07/2001
112,1,2681,18,23.927,1_18,0.295,1.863666667,13.61166667,0.375,1.686666667,1.66502478,112,EB,563,1994,24.2,24.2,15.3,,A,25,841,05/08/1998,274,160,BrF,0,20/08/2007
113,1,1,19,8.262333333,1_19,0.016,2.158333333,10.84866667,0.228,1.746666667,0.0000481,113,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
114,1,2,19,12.228,1_19,0.531,2.091333333,14.87366667,0.44,1.733,0.000159244,114,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
115,1,3,19,15.30233333,1_19,0.12,2.119333333,19.42733333,0.097,1.752,0.00010664,115,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
116,1,4,19,18.568,1_19,0.093,2.096,22.94233333,0.186,1.756333333,0.000181902,116,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
117,1,5,19,21.62166667,1_19,0.199,2.060666667,26.279,26.359,1.498,0.001463184,117,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
118,1,6,19,25.19433333,1_19,0.018,2.044,27.958,0.308,1.751333333,0.00149218,118,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
119,1,2682,19,23.84733333,1_19,0.121,1.890333333,13.559,0.563,1.672,1.764774302,119,EB,847,1994,25.3,25.1,16.6,,A,25,844,07/08/1998,269,138,BrM,1,07/08/2000
120,1,2684,19,24.495,1_19,0.334,1.884666667,14.28166667,0.421,1.702666667,1.895840661,120,EB,1153,1996,24.8,24.8,16.6,,A,25,843,06/08/1998,274,160,BrM,1,15/08/1998
121,1,2685,19,23.53733333,1_19,0.385,1.884333333,12.83833333,0.728,1.721666667,2.305303391,121,EB,1355,1997,25.3,25.1,15.4,,SA,25,838,03/08/1998,240,81,ABX,0,19/08/2003
122,1,2686,19,23.287,1_19,0.194,1.882666667,12.73833333,0.067,1.683,1.935267572,122,EB,865,1994,26.4,26.2,17.6,,A,25,840,04/08/1998,240,81,BrM,1,07/09/1999
123,1,2687,19,24.431,1_19,0.144,1.874666667,14.24533333,0.513,1.721333333,1.894316381,123,EB,1356,1997,26.6,26.1,17.7,,A,25,842,05/08/1998,241,82,BrM,1,03/09/2009
124,1,2688,19,24.01466667,1_19,0.351,1.877,13.895,0.289,1.693666667,1.705346786,124,EB,1130,,23.5,23.3,14.7,,A,25,842,05/08/1998,241,82,BrF,0,02/12/1999
125,1,1,2,7.516,1_2,0.145,2.101333333,9.754333333,0.248,1.725,0.0000492,125,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
